Name,Postcode,Latitude,Longitude
School_3760,W14 8SH,51.49489733,-0.209334228
School_472,SW12 8PP,51.44859678,-0.149836102
School_3281,SW12 8NR,51.45028494,-0.158820747
School_3610,SW4 9AH,51.45251199,-0.151189156
School_3788,SW12 8NR,51.45028494,-0.158820747
School_1635,SM7 2BQ,51.32211292,-0.207673806
School_1683,SM7 2PH,51.3200567,-0.20260177
School_2205,SM7 2BQ,51.32192686,-0.209618559
School_3501,SM7 3RA,51.32987563,-0.193174872
School_3502,SM7 2AJ,51.32255873,-0.206249935
School_3928,SM7 3RA,51.32987563,-0.193174872
School_3929,SM7 2AJ,51.32255873,-0.206249935
School_1302,IG2 6RG,51.58059927,0.074362686
School_1842,IG2 6TD,51.57991303,0.070448818
School_3433,IG4 5ED,51.58096513,0.058184541
School_666,DA6 7QJ,51.45429367,0.15420354
School_2088,DA7 4HL,51.45917253,0.149049571
School_2234,DA7 6EQ,51.4568778,0.166719197
School_2705,DA7 6LB,51.45511975,0.167931382
School_2963,DA6 7QJ,51.45420933,0.156833649
School_3038,DA6 7QB,51.45191153,0.155616979
School_1320,SW13 9AE,51.48355833,-0.238483219
School_1345,SW13 9HQ,51.47430303,-0.24556428
School_3452,SW13 9JT,51.48851884,-0.238853796
School_3457,SW13 9JS,51.48644299,-0.23775269
School_3458,SW13 9QN,51.48165085,-0.246218595
School_3893,SW13 9JT,51.48851884,-0.238853796
School_3898,SW13 9JS,51.48644299,-0.23775269
School_3899,SW13 9QN,51.48165085,-0.246218595
School_722,HA9 9YP,51.5620465,-0.270610705
School_741,HA3 9UD,51.57958681,-0.281996358
School_1082,UB4 0NR,51.52245436,-0.39871734
School_1083,UB4 0NR,51.52193949,-0.398548026
School_1906,HA9 9JR,51.56555871,-0.280144714
School_2054,UB4 9LF,51.53178156,-0.401518666
School_2730,HA3 9TE,51.58101193,-0.28106211
School_2766,HA9 9JR,51.56555871,-0.280144714
School_2978,UB4 9LE,51.53041458,-0.398870496
School_3700,HA9 9LY,51.56605915,-0.27380589
School_4106,HA9 9LY,51.56605915,-0.27380589
School_185,N1 1HX,51.54084567,-0.1099005
School_186,N1 0TJ,51.53537013,-0.113314106
School_2468,N1 9QG,51.53294894,-0.11262124
School_3608,N1 9JF,51.53202822,-0.113524432
School_2927,SL1 3AH,51.52536017,-0.608086775
School_2966,SL1 3BW,51.51981371,-0.611268422
School_554,W2 5QH,51.51901555,-0.195833341
School_559,W2 4PH,51.51477508,-0.192008681
School_2525,W2 4PH,51.51477508,-0.192008681
School_3112,HP9 1RR,51.60392734,-0.643747769
School_1257,E6 5NA,51.51068747,0.061717435
School_1265,E6 5XG,51.51764754,0.057131103
School_1792,E6 6WG,51.51311807,0.069235179
School_2717,E6 5JG,51.51407656,0.055125369
School_585,RM8 2QR,51.55682657,0.117411063
School_593,RM8 2JN,51.55983368,0.122196319
School_1355,SM6 8JT,51.36247591,-0.129621675
School_1379,SM6 7NP,51.36992081,-0.136329442
School_1837,CR0 4PG,51.36792158,-0.128810802
School_2111,SM6 7NH,51.37193523,-0.139164276
School_2281,CR0 4UA,51.37278824,-0.133425635
School_2647,SM6 7NP,51.36992081,-0.136329442
School_2731,CR0 4PG,51.36792158,-0.128810802
School_2732,CR0 4PD,51.36794955,-0.124370449
School_3081,SM6 7NH,51.37193523,-0.139164276
School_1349,SM6 9QU,51.35816509,-0.138458369
School_1365,SM6 9DP,51.35579829,-0.135523792
School_1366,SM6 9JN,51.35222193,-0.130053568
School_1374,SM6 9HY,51.35611791,-0.127927254
School_1375,SM6 9HY,51.35611791,-0.127927254
School_2645,CR8 3YP,51.3454924,-0.133831131
School_2853,SM6 9JW,51.35885364,-0.128045565
School_1149,TW14 9QZ,51.45924064,-0.430194469
School_1809,TW14 8ET,51.4476614,-0.434448055
School_1909,TW14 9QZ,51.45796899,-0.431260048
School_2608,TW14 9QZ,51.45924064,-0.430194469
School_490,SW12 9SS,51.44147928,-0.153562819
School_521,SW17 8BS,51.43569664,-0.157551226
School_2116,SW17 7BS,51.43905989,-0.155257557
School_3287,SW17 7BQ,51.44040163,-0.154800599
School_1435,RM15 5LX,51.50430103,0.278067592
School_1469,RM15 5RP,51.50594854,0.282602681
School_2057,RM15 5JQ,51.50848199,0.273015951
School_2064,RM15 5QJ,51.50855973,0.287056662
School_286,SE6 3LD,51.43406814,-0.023930564
School_295,SE6 3EN,51.42893648,-0.023590862
School_299,SE26 5AD,51.42828802,-0.036378828
School_334,SE6 3RD,51.42409658,-0.016564334
School_350,SE23 2QU,51.43208366,-0.039640173
School_351,SE6 3WG,51.42536508,-0.02191806
School_2258,BR3 5DE,51.41537037,-0.016381094
School_2489,SE6 3QW,51.4226859,-0.023026193
School_2496,SE23 2QU,51.43208366,-0.039640173
School_2497,SE6 1UF,51.43219126,-0.039621182
School_3570,SE6 4LP,51.43475381,-0.034763621
School_998,HA7 2PJ,51.60656908,-0.308979919
School_1745,HA7 2EQ,51.60771808,-0.303232644
School_2292,SM2 6JE,51.34647444,-0.204153495
School_2896,HA7 1PL,51.59988879,-0.302210639
School_3461,SM2 5LH,51.34664091,-0.181731603
School_4033,SM2 5SJ,51.35269418,-0.191674304
School_2123,NW3 4QP,51.55100708,-0.166555689
School_3182,NW3 3EL,51.54486107,-0.165721165
School_3183,NW3 4NU,51.54542713,-0.170876021
School_3188,NW3 4NY,51.54507012,-0.169895208
School_3193,NW3 3ET,51.54434667,-0.170212685
School_3721,NW3 4NU,51.54542713,-0.170876021
School_3723,NW3 4NY,51.54507012,-0.169895208
School_3727,NW3 3ET,51.54434667,-0.170212685
School_3732,NW3 4YD,51.54569575,-0.162168509
School_677,DA17 6AA,51.4908951,0.158609477
School_693,DA17 6DW,51.48908307,0.156406307
School_2060,DA17 6AA,51.49074056,0.157233671
School_2071,DA17 5HP,51.49008169,0.14363287
School_2276,DA17 6HB,51.48314991,0.148939142
School_2539,DA17 6DW,51.48908307,0.156406307
School_4075,DA17 5JX,51.47998656,0.143908002
School_776,CR7 7QT,51.3993139,-0.114691409
School_777,CR7 7QT,51.3993139,-0.114691409
School_1935,CR7 7FA,51.39185556,-0.102219998
School_2194,CR7 7QT,51.3993139,-0.114691409
School_2553,CR7 7BN,51.39484006,-0.102153889
School_1169,KT5 8LJ,51.39269328,-0.286793404
School_428,E2 6LS,51.52841585,-0.062420639
School_429,E2 6PP,51.52841574,-0.06350194
School_433,E2 9HE,51.53366749,-0.054281502
School_462,E2 9LR,51.53002667,-0.054350323
School_1819,E2 9JY,51.53271741,-0.05122203
School_2510,E2 6PR,51.52924013,-0.061693578
School_2516,E2 9LY,51.5299195,-0.058190022
School_3273,E2 9JG,51.53213828,-0.046676149
School_3627,E2 9DQ,51.53456622,-0.054791107
School_4024,E2 9DQ,51.53456622,-0.054791107
School_425,E2 0BP,51.52495262,-0.059093444
School_427,E1 4AX,51.52213471,-0.05239489
School_439,E1 5RE,51.52304426,-0.059520612
School_449,E2 0LB,51.5259675,-0.05197174
